,Category,Endangered,In Recovery,Species of Concern,Threatened
0,Amphibian,0.11655011655011654,0.0,0.4662004662004662,0.2331002331002331
1,Bird,0.04404316229905307,0.03303237172428981,0.7707553402334287,0.0
2,Fish,0.3042596348884381,0.0,0.4056795131845842,0.3042596348884381
3,Mammal,0.1566579634464752,0.02610966057441253,0.7310704960835509,0.05221932114882506
4,Nonvascular Plant,0.0,0.0,1.2269938650306749,0.0
5,Reptile,0.0,0.0,0.825082508250825,0.0
6,Vascular Plant,0.0177999288002848,0.0,0.7653969384122464,0.0355998576005696
